Time,Open,High,Low,Close,Volume
2022.05.31 15:00,92.018,92.080,91.946,91.989,6622.000
2022.05.31 14:00,91.966,92.032,91.911,92.017,4562.000
2022.05.31 13:00,91.906,92.030,91.847,91.967,4440.000
2022.05.31 12:00,91.964,92.001,91.829,91.908,5222.000
2022.05.31 11:00,91.747,91.977,91.744,91.965,5708.000
2022.05.31 10:00,91.906,91.948,91.583,91.750,6481.000
2022.05.31 09:00,91.910,92.034,91.813,91.913,6063.000
2022.05.31 08:00,92.015,92.089,91.894,91.910,4263.000
2022.05.31 07:00,92.061,92.062,91.869,92.017,3226.000
2022.05.31 06:00,92.058,92.078,91.913,92.061,3849.000
2022.05.31 05:00,92.017,92.074,91.879,92.062,4101.000
2022.05.31 04:00,91.967,92.085,91.818,92.018,6842.000
2022.05.31 03:00,91.932,92.231,91.882,91.973,6764.000
2022.05.31 02:00,91.776,92.003,91.775,91.930,2868.000
2022.05.31 01:00,91.857,91.861,91.696,91.772,1555.000
2022.05.31 00:00,91.830,91.870,91.784,91.854,341.000
2022.05.30 23:00,91.810,91.848,91.781,91.837,2126.000
2022.05.30 22:00,91.813,91.815,91.770,91.812,1121.000
2022.05.30 21:00,91.816,91.829,91.802,91.813,706.000
2022.05.30 20:00,91.800,91.834,91.782,91.816,739.000
2022.05.30 19:00,91.785,91.835,91.755,91.798,1923.000
2022.05.30 18:00,91.834,91.834,91.718,91.785,3229.000
2022.05.30 17:00,91.726,91.848,91.676,91.834,3792.000
2022.05.30 16:00,91.646,91.730,91.623,91.727,4330.000
2022.05.30 15:00,91.564,91.716,91.553,91.646,4442.000
2022.05.30 14:00,91.478,91.576,91.438,91.564,3303.000
2022.05.30 13:00,91.517,91.520,91.356,91.476,3022.000
2022.05.30 12:00,91.486,91.584,91.480,91.518,3519.000
2022.05.30 11:00,91.362,91.528,91.315,91.486,4208.000
2022.05.30 10:00,91.270,91.387,91.238,91.362,4934.000
2022.05.30 09:00,91.248,91.438,91.235,91.269,4025.000
2022.05.30 08:00,91.168,91.281,91.153,91.248,3549.000
2022.05.30 07:00,91.128,91.194,91.027,91.167,3353.000
2022.05.30 06:00,91.119,91.208,90.992,91.128,3307.000
2022.05.30 05:00,91.123,91.286,91.054,91.119,4491.000
